OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME,Year,Month,Hour,ALCOHOL_RELATED
3473785,T20190000330,ABS to receive accident,Finished,5/1/2019,17.30.00,Yes,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,No,Not at intersection,Serious injury accident,50 km/hr,Yes,341037,145.96659,-38.1742,Non-Intersection,BAW BAW,EASTERN REGION,2584699.891,2369257.695,3,1,0,1,0,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,RURAL_VICTORIA,RURAL_VICTORIA,BAW BAW,"EASTERN REGION,EASTERN REGION",,,Local Road,Local Road,Undivided,Undiv,Country,2019,1,17,0
3473786,T20190000331,ABS to receive accident,Finished,6/1/2019,10.30.00,No,Collision with vehicle,,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,No,Cross intersection,Other injury accident,50 km/hr,No,40007,144.89249,-37.85632,Intersection,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,2490539.248,2404966.675,2,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,2019,1,10,0
3473787,T20190000334,ABS to receive accident,Finished,1/1/2019,21.00.00,Yes,Struck animal,Tuesday,STRUCK ANIMAL,No,Dark No street lights,No,Not at intersection,Serious injury accident,100 km/hr,No,341333,144.04337,-38.08525,Non-Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,2416073.556,2379140.112,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,GOLDEN PLAINS,SOUTH WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country,2019,1,21,0
3473788,T20190000335,ABS to receive accident,Finished,6/1/2019,20.40.00,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,341149,142.42158,-36.11026,Non-Intersection,YARRIAMBIACK,WESTERN REGION,2267879.965,2595579.132,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,YARRIAMBIACK,WESTERN REGION,B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,2019,1,20,0
3473789,T20190000336,ABS to receive accident,Finished,6/1/2019,18.10.00,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,No,340962,145.25336,-38.03033,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2522243.962,2385628.243,2,2,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro,2019,1,18,0
3473790,T20190000338,ABS to receive accident,Finished,6/1/2019,23.07.00,No,Collision with a fixed object,,PERMANENT OBSTRUCTION ON CARRIAGEWAY,No,Dark Street lights on,Yes,T intersection,Serious injury accident,50 km/hr,No,46421,144.89441,-37.84657,Intersection,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,2490707.271,2406048.264,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,"Div,Undiv",Metro,2019,1,23,0
3473791,T20190000339,ABS to receive accident,Finished,7/1/2019,00.45.00,Yes,Vehicle overturned (no collision),Monday,OFF CARRIAGEWAY TO LEFT,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,60 km/hr,Yes,341220,143.9516,-38.55239,Non-Intersection,SURF COAST,SOUTH WESTERN REGION,2408593.433,2327198.215,2,2,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Yes,1,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SURF COAST,SOUTH WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country,2019,1,00,1
3473792,T20190000346,ABS to receive accident,Finished,7/1/2019,08.40.00,Yes,Collision with vehicle,Sunday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,39131,145.07621,-37.80258,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2506711.331,2410932.908,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,2019,1,08,0
3473793,T20190000348,ABS to receive accident,Finished,6/1/2019,19.15.00,Yes,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,No,T intersection,Other injury accident,60 km/hr,No,39928,144.84702,-37.83849,Intersection,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,2486534.22,2406940.143,3,2,0,0,2,1,0,3,0,0,1,2,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,Div,Metro,2019,1,19,0
3473794,T20190000350,ABS to receive accident,Finished,7/1/2019,08.45.00,No,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,80 km/hr,No,43824,145.42937,-37.83236,Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2537796.726,2407546.085,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,2019,1,08,0
3473795,T20190000353,ABS to receive accident,Finished,7/1/2019,09.30.00,No,Collision with vehicle,Monday,CUTTING IN (OVERTAKING),No,Day,Yes,Cross intersection,Other injury accident,90 km/hr,No,72148,145.50307,-38.15602,Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,2544093.844,2371589.253,8,1,0,0,1,7,5,3,0,6,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CARDINIA,METROPOLITAN SOUTH EAST REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,2019,1,09,0
3473796,T20190000357,ABS to receive accident,Finished,7/1/2019,12.03.00,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,No,41433,145.05708,-37.88921,Intersection,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,2505020.618,2401319.231,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,2019,1,12,0
3473797,T20190000358,ABS to receive accident,Finished,7/1/2019,12.15.00,No,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,80 km/hr,No,341100,145.41639,-37.72265,Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2536707.205,2419727.048,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro,2019,1,12,0
3473798,T20190000833,ABS to receive accident,Finished,15/1/2019,07.49.00,No,collision with some other object,Tuesday,STRUCK OBJECT ON CARRIAGEWAY,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,341377,144.61835,-38.26629,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2466597.61,2359398.546,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,2019,1,07,0
3473799,T20190000836,ABS to receive accident,Finished,15/1/2019,07.15.00,No,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Not at intersection,Serious injury accident,40 km/hr,No,230261,145.00001,-37.73757,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2500000.881,2418151.288,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,,,,,,Metro,2019,1,07,0
3473800,T20190000840,ABS to receive accident,Finished,15/1/2019,07.45.00,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,341573,143.6263,-36.9927,Non-Intersection,CENTRAL GOLDFIELDS,WESTERN REGION,2377735.496,2499928.098,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CENTRAL GOLDFIELDS,WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country,2019,1,07,0
3473801,T20190000847,ABS to receive accident,Finished,15/1/2019,14.00.00,No,collision with some other object,Monday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,Yes,342534,147.23539,-36.11438,Non-Intersection,TOWONG,NORTH EASTERN REGION,2701234.388,2595902.73,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,TOWONG,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country,2019,1,14,0
