OBJECTID,Year,Value,sex
3449602,2017,1,0
3449602,2017,1,1
3450816,2017,1,0
3450816,2017,4,1
3450817,2017,0,0
3450817,2017,1,1
3450818,2017,0,0
3450818,2017,5,1
3450819,2017,3,0
3450819,2017,1,1
3450821,2017,3,0
3450821,2017,5,1
3450822,2017,2,0
3450822,2017,4,1
3450823,2017,1,0
3450823,2017,0,1
3450824,2017,1,0
3450824,2017,2,1
3450825,2017,2,0
3450825,2017,2,1
3450826,2017,1,0
3450826,2017,2,1
3450827,2017,1,0
3450827,2017,2,1
3450828,2017,1,0
3450828,2017,1,1
3450829,2017,0,0
3450829,2017,2,1
3450830,2017,1,0
3450830,2017,0,1
3450832,2017,2,0
3450832,2017,0,1
3450833,2017,1,0
3450833,2017,1,1
3450834,2017,1,0
3450834,2017,0,1
3450835,2017,1,0
3450835,2017,0,1
3450836,2017,1,0
3450836,2017,0,1
3450837,2017,1,0
3450837,2017,1,1
3450838,2017,2,0
3450838,2017,0,1
3450839,2017,2,0
3450839,2017,1,1
3450840,2017,1,0
3450840,2017,0,1
3450842,2017,3,0
3450842,2017,3,1
3450843,2017,2,0
3450843,2017,1,1
3450844,2017,0,0
3450844,2017,2,1
3450846,2017,1,0
3450846,2017,0,1
3450847,2017,0,0
3450847,2017,1,1
3450848,2017,2,0
3450848,2017,0,1
3450849,2017,2,0
3450849,2017,3,1
3450850,2017,2,0
3450850,2017,1,1
3450851,2017,1,0
3450851,2017,0,1
3450852,2017,1,0
3450852,2017,1,1
3450853,2017,1,0
3450853,2017,0,1
3450854,2017,0,0
3450854,2017,2,1
3450856,2017,1,0
3450856,2017,1,1
3450857,2017,2,0
3450857,2017,1,1
3450860,2017,0,0
3450860,2017,1,1
3450861,2017,0,0
3450861,2017,2,1
3450862,2017,2,0
3450862,2017,0,1
3450863,2017,1,0
3450863,2017,3,1
3450865,2017,1,0
3450865,2017,0,1
3450866,2017,2,0
3450866,2017,0,1
3450868,2017,1,0
3450868,2017,0,1
3450869,2017,12,0
3450869,2017,8,1
3450870,2017,7,0
3450870,2017,2,1
3450871,2017,3,0
3450871,2017,2,1
3450872,2017,0,0
3450872,2017,1,1
3450873,2017,1,0
3450873,2017,1,1
3450874,2017,2,0
3450874,2017,1,1
3450875,2017,3,0
3450875,2017,1,1
3450876,2017,2,0
3450876,2017,3,1
3450877,2017,2,0
3450877,2017,1,1
3450878,2017,1,0
3450878,2017,1,1
3450879,2017,2,0
3450879,2017,3,1
3450880,2017,3,0
3450880,2017,0,1
3450881,2017,1,0
3450881,2017,1,1
3450882,2017,1,0
3450882,2017,3,1
3450883,2017,2,0
3450883,2017,1,1
3450884,2017,1,0
3450884,2017,0,1
3450885,2017,3,0
3450885,2017,0,1
3450886,2017,1,0
3450886,2017,0,1
3450887,2017,2,0
3450887,2017,2,1
3450888,2017,0,0
3450888,2017,1,1
3450889,2017,1,0
3450889,2017,3,1
3450890,2017,2,0
3450890,2017,0,1
3450891,2017,2,0
3450891,2017,0,1
3450893,2017,1,0
3450893,2017,1,1
3450894,2017,1,0
3450894,2017,1,1
3450895,2017,1,0
3450895,2017,0,1
3450896,2017,1,0
3450896,2017,1,1
3450897,2017,2,0
3450897,2017,1,1
3450898,2017,2,0
3450898,2017,1,1
3450899,2017,1,0
3450899,2017,1,1
3450900,2017,2,0
3450900,2017,0,1
3450901,2017,1,0
3450901,2017,1,1
3450902,2017,2,0
3450902,2017,0,1
3450903,2017,0,0
3450903,2017,2,1
3450904,2017,2,0
3450904,2017,0,1
3450905,2017,0,0
3450905,2017,4,1
3450906,2017,2,0
3450906,2017,0,1
3450907,2017,2,0
3450907,2017,4,1
3450908,2017,0,0
3450908,2017,2,1
3450909,2017,2,0
3450909,2017,0,1
3450911,2017,5,0
3450911,2017,4,1
3450912,2017,1,0
3450912,2017,2,1
3450913,2017,0,0
3450913,2017,2,1
3450914,2017,1,0
3450914,2017,0,1
3450915,2017,1,0
3450915,2017,2,1
3450916,2017,2,0
3450916,2017,0,1
3450918,2017,1,0
3450918,2017,0,1
3450919,2017,5,0
3450919,2017,3,1
3450920,2017,1,0
3450920,2017,1,1
3450921,2017,1,0
3450921,2017,0,1
3450922,2017,1,0
3450922,2017,0,1
3450924,2017,1,0
3450924,2017,1,1
3450925,2017,2,0
3450925,2017,1,1
3450926,2017,0,0
3450926,2017,0,1
3450927,2017,1,0
3450927,2017,1,1
3450928,2017,1,0
3450928,2017,0,1
3450929,2017,1,0
3450929,2017,0,1
3450930,2017,2,0
3450930,2017,0,1
3450931,2017,0,0
3450931,2017,2,1
3450932,2017,1,0
3450932,2017,0,1
3450933,2017,0,0
3450933,2017,1,1
3450934,2017,1,0
3450934,2017,0,1
3450935,2017,1,0
3450935,2017,2,1
3450936,2017,0,0
3450936,2017,1,1
3450937,2017,1,0
3450937,2017,0,1
3450939,2017,0,0
3450939,2017,2,1
3450940,2017,1,0
3450940,2017,0,1
3450941,2017,1,0
3450941,2017,2,1
3450942,2017,1,0
3450942,2017,0,1
3450943,2017,2,0
3450943,2017,0,1
3450944,2017,3,0
3450944,2017,3,1
3450945,2017,1,0
3450945,2017,0,1
3450946,2017,1,0
3450946,2017,1,1
3450947,2017,0,0
3450947,2017,1,1
3450948,2017,1,0
3450948,2017,1,1
3450949,2017,1,0
3450949,2017,0,1
3450950,2017,1,0
3450950,2017,0,1
3450951,2017,1,0
3450951,2017,2,1
3450952,2017,1,0
3450952,2017,1,1
3450953,2017,1,0
3450953,2017,1,1
3450954,2017,1,0
3450954,2017,1,1
3450955,2017,3,0
3450955,2017,3,1
3450956,2017,2,0
3450956,2017,2,1
3450957,2017,1,0
3450957,2017,2,1
3450958,2017,1,0
3450958,2017,1,1
3450959,2017,0,0
3450959,2017,2,1
3450961,2017,1,0
3450961,2017,0,1
3450962,2017,1,0
3450962,2017,0,1
3450963,2017,0,0
3450963,2017,2,1
3450964,2017,1,0
3450964,2017,1,1
3450965,2017,1,0
3450965,2017,0,1
3450966,2017,1,0
3450966,2017,0,1
3450967,2017,0,0
3450967,2017,2,1
3450968,2017,2,0
3450968,2017,3,1
3450970,2017,1,0
3450970,2017,1,1
3450971,2017,1,0
3450971,2017,1,1
3450972,2017,0,0
3450972,2017,2,1
3450973,2017,1,0
3450973,2017,0,1
3450974,2017,3,0
3450974,2017,0,1
3450976,2017,0,0
3450976,2017,1,1
3450977,2017,2,0
3450977,2017,0,1
3450978,2017,3,0
3450978,2017,0,1
3450979,2017,0,0
3450979,2017,1,1
3450980,2017,1,0
3450980,2017,0,1
3450981,2017,1,0
3450981,2017,0,1
3450982,2017,1,0
3450982,2017,0,1
3450983,2017,0,0
3450983,2017,1,1
3450984,2017,1,0
3450984,2017,0,1
3450985,2017,1,0
3450985,2017,0,1
3450986,2017,1,0
3450986,2017,1,1
3450987,2017,1,0
3450987,2017,0,1
3450988,2017,0,0
3450988,2017,2,1
3450989,2017,1,0
3450989,2017,1,1
3450990,2017,1,0
3450990,2017,0,1
3450991,2017,1,0
3450991,2017,1,1
3450992,2017,2,0
3450992,2017,1,1
3450993,2017,1,0
3450993,2017,1,1
3450994,2017,1,0
3450994,2017,1,1
3450995,2017,2,0
3450995,2017,0,1
3450996,2017,2,0
3450996,2017,1,1
3450998,2017,0,0
3450998,2017,1,1
3450999,2017,0,0
3450999,2017,2,1
3451000,2017,1,0
3451000,2017,0,1
3451001,2017,2,0
3451001,2017,0,1
3451002,2017,2,0
3451002,2017,0,1
3451003,2017,1,0
3451003,2017,4,1
3451004,2017,1,0
3451004,2017,2,1
3451005,2017,2,0
3451005,2017,0,1
3451006,2017,1,0
3451006,2017,2,1
3451007,2017,3,0
3451007,2017,0,1
3451008,2017,0,0
3451008,2017,2,1
3451009,2017,1,0
3451009,2017,0,1
3451011,2017,2,0
3451011,2017,0,1
3451013,2017,2,0
3451013,2017,0,1
3451014,2017,2,0
3451014,2017,6,1
3451016,2017,0,0
3451016,2017,2,1
3451017,2017,2,0
3451017,2017,0,1
3451020,2017,1,0
3451020,2017,1,1
3451022,2017,1,0
3451022,2017,0,1
3451023,2017,2,0
3451023,2017,0,1
3451026,2017,1,0
3451026,2017,1,1
3451027,2017,0,0
3451027,2017,1,1
3451029,2017,0,0
3451029,2017,1,1
3451030,2017,0,0
3451030,2017,1,1
3451031,2017,2,0
3451031,2017,0,1
3451032,2017,2,0
3451032,2017,0,1
3451034,2017,0,0
3451034,2017,1,1
3451035,2017,1,0
3451035,2017,1,1
3451036,2017,1,0
3451036,2017,0,1
3451037,2017,1,0
3451037,2017,1,1
3451038,2017,0,0
3451038,2017,1,1
3451040,2017,3,0
3451040,2017,2,1
3451041,2017,1,0
3451041,2017,0,1
3451042,2017,1,0
3451042,2017,1,1
3451043,2017,1,0
3451043,2017,1,1
3451044,2017,2,0
3451044,2017,2,1
3451045,2017,0,0
3451045,2017,2,1
3451046,2017,1,0
3451046,2017,0,1
3451047,2017,1,0
3451047,2017,2,1
3451048,2017,1,0
3451048,2017,0,1
3451049,2017,2,0
3451049,2017,1,1
3451050,2017,2,0
3451050,2017,1,1
3451051,2017,1,0
3451051,2017,0,1
3451052,2017,2,0
3451052,2017,0,1
3451053,2017,2,0
3451053,2017,1,1
3451054,2017,0,0
3451054,2017,2,1
3451055,2017,2,0
3451055,2017,0,1
3451056,2017,2,0
3451056,2017,0,1
3451057,2017,2,0
3451057,2017,0,1
3451058,2017,1,0
3451058,2017,0,1
3451059,2017,2,0
3451059,2017,0,1
3451060,2017,5,0
3451060,2017,1,1
3451061,2017,1,0
3451061,2017,2,1
3451062,2017,1,0
3451062,2017,3,1
3451063,2017,3,0
3451063,2017,1,1
3451064,2017,1,0
3451064,2017,0,1
3451065,2017,1,0
3451065,2017,0,1
3451066,2017,1,0
3451066,2017,4,1
3451067,2017,0,0
3451067,2017,1,1
3451068,2017,1,0
3451068,2017,0,1
3451069,2017,0,0
3451069,2017,1,1
3451071,2017,0,0
3451071,2017,1,1
3451073,2017,3,0
3451073,2017,0,1
3451074,2017,1,0
3451074,2017,1,1
3451075,2017,1,0
3451075,2017,0,1
3451076,2017,1,0
3451076,2017,1,1
3451077,2017,1,0
3451077,2017,1,1
3451078,2017,2,0
3451078,2017,3,1
3451079,2017,3,0
3451079,2017,0,1
3451080,2017,1,0
3451080,2017,1,1
3451081,2017,2,0
3451081,2017,0,1
3451082,2017,1,0
3451082,2017,1,1
3451084,2017,2,0
3451084,2017,0,1
3451085,2017,1,0
3451085,2017,1,1
3451086,2017,1,0
3451086,2017,0,1
3451087,2017,1,0
3451087,2017,0,1
3451088,2017,2,0
3451088,2017,0,1
3451089,2017,1,0
3451089,2017,1,1
3451090,2017,1,0
3451090,2017,0,1
3451091,2017,1,0
3451091,2017,1,1
3451092,2017,1,0
3451092,2017,2,1
3451093,2017,0,0
3451093,2017,2,1
