ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2021)
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180,
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,28.87733
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,13.17898
AND,Andorra,Europe,Northern Hemisphere,Very High,,40,
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26,
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,28.099767
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,17.43837
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,71,
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5,17.126
AUT,Austria,Europe,Northern Hemisphere,Very High,,25,14.93291
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91,8.859
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187,20.92933
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13,10.30447
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166,31.97436
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184,17.31173505
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129,16.55655
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68,23.00311
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35,
BHS,Bahamas,America,Northern Hemisphere,Very High,LAC,55,
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74,20.16037
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60,9.64549
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,123,37.92633
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118,26.863258
BRA,Brazil,America,Southern Hemisphere,High,LAC,87,41.306376
BRB,Barbados,America,Northern Hemisphere,High,LAC,70,33.58537775
BRN,Brunei,Asia,Northern Hemisphere,Very High,EAP,51,
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127,19.95514103
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117,0
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188,49.19459
CAN,Canada,America,Northern Hemisphere,Very High,,15,17.077
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1,15.58172
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42,28.273047
CHN,China,Asia,Northern Hemisphere,High,EAP,79,27.391
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159,27.04145
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151,34.98911
COD,Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,SSA,179,27.63249
COL,Colombia,America,Northern Hemisphere,High,LAC,88,37.712196
COM,Comoros,Africa,Southern Hemisphere,Medium,SSA,156,56.01338
CPV,Cabo Verde,Africa,Northern Hemisphere,Medium,SSA,128,
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58,33.41354
CUB,Cuba,America,Northern Hemisphere,High,LAC,83,
CYP,Cyprus,Asia,Northern Hemisphere,Very High,,29,13.03255
CZE,Czechia,Europe,Northern Hemisphere,Very High,,32,8.7672
DEU,Germany,Europe,Northern Hemisphere,Very High,,9,12.46003
DJI,Djibouti,Africa,Northern Hemisphere,Low,AS,171,27.74495175
DMA,Dominica,America,Northern Hemisphere,High,LAC,102,
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6,10.05068
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80,25.628189
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91,11.5052
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95,31.050541
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97,36.503
ERI,Eritrea,Africa,Northern Hemisphere,Low,SSA,176,
ESP,Spain,Europe,Northern Hemisphere,Very High,,27,19.31195
EST,Estonia,Europe,Northern Hemisphere,Very High,,31,14.98963
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175,12.07582
